msa_name,rank,CBSAFP,group
"Austin, TX",1,12420,Top 10
"St. George, UT",2,41100,Top 10
"Destin, FL",3,18880,Top 10
"Charleston, SC",4,16700,Top 10
"Phoenix, AZ",5,38060,Top 10
"Jacksonville, FL",6,27260,Top 10
"Fort Collins, CO",7,22660,Top 10
"Gainesville, GA",8,23580,Top 10
"Savannah, GA",9,42340,Top 10
"Charlotte, NC",10,16740,Top 10
"Houma, LA",349,26380,Bottom 10
"Watertown, NY",350,48060,Bottom 10
"Decatur, AL",351,19460,Bottom 10
"Longview, TX",352,30980,Bottom 10
"Rocky Mount, NC",353,40580,Bottom 10
"Victoria, TX",354,47020,Bottom 10
"Texarkana, TX",355,45500,Bottom 10
"Fairbanks-College, AK",356,21820,Bottom 10
"Cape Girardeau, MO",357,16020,Bottom 10
"Charleston, WV",358,16620,Bottom 10
