msa,name_msa,fipstate,fipscty,name_county,fips
10180,"Abilene, TX Metro Area",48,059,"Callahan County, Texas",48059
10180,"Abilene, TX Metro Area",48,253,"Jones County, Texas",48253
10180,"Abilene, TX Metro Area",48,441,"Taylor County, Texas",48441
10420,"Akron, OH Metro Area",39,133,"Portage County, Ohio",39133
10420,"Akron, OH Metro Area",39,153,"Summit County, Ohio",39153
10500,"Albany, GA Metro Area",13,095,"Dougherty County, Georgia",13095
10500,"Albany, GA Metro Area",13,177,"Lee County, Georgia",13177
10500,"Albany, GA Metro Area",13,273,"Terrell County, Georgia",13273
10500,"Albany, GA Metro Area",13,321,"Worth County, Georgia",13321
10540,"Albany, OR Metro Area",41,043,"Linn County, Oregon",41043
10580,"Albany-Schenectady-Troy, NY Metro Area",36,001,"Albany County, New York",36001
10580,"Albany-Schenectady-Troy, NY Metro Area",36,083,"Rensselaer County, New York",36083
10580,"Albany-Schenectady-Troy, NY Metro Area",36,091,"Saratoga County, New York",36091
10580,"Albany-Schenectady-Troy, NY Metro Area",36,093,"Schenectady County, New York",36093
10580,"Albany-Schenectady-Troy, NY Metro Area",36,095,"Schoharie County, New York",36095
10740,"Albuquerque, NM Metro Area",35,001,"Bernalillo County, New Mexico",35001
10740,"Albuquerque, NM Metro Area",35,043,"Sandoval County, New Mexico",35043
10740,"Albuquerque, NM Metro Area",35,057,"Torrance County, New Mexico",35057
10740,"Albuquerque, NM Metro Area",35,061,"Valencia County, New Mexico",35061
10780,"Alexandria, LA Metro Area",22,043,"Grant Parish, Louisiana",22043
10780,"Alexandria, LA Metro Area",22,079,"Rapides Parish, Louisiana",22079
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",34,041,"Warren County, New Jersey",34041
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",42,025,"Carbon County, Pennsylvania",42025
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",42,077,"Lehigh County, Pennsylvania",42077
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",42,095,"Northampton County, Pennsylvania",42095
11020,"Altoona, PA Metro Area",42,013,"Blair County, Pennsylvania",42013
11100,"Amarillo, TX Metro Area",48,011,"Armstrong County, Texas",48011
11100,"Amarillo, TX Metro Area",48,065,"Carson County, Texas",48065
11100,"Amarillo, TX Metro Area",48,359,"Oldham County, Texas",48359
11100,"Amarillo, TX Metro Area",48,375,"Potter County, Texas",48375
11100,"Amarillo, TX Metro Area",48,381,"Randall County, Texas",48381
11180,"Ames, IA Metro Area",19,015,"Boone County, Iowa",19015
11180,"Ames, IA Metro Area",19,169,"Story County, Iowa",19169
11200,"Amherst Town-Northampton, MA Metro Area",25,015,"Hampshire County, Massachusetts",25015
11260,"Anchorage, AK Metro Area",02,020,"Anchorage Municipality, Alaska",02020
11260,"Anchorage, AK Metro Area",02,170,"Matanuska-Susitna Borough, Alaska",02170
11460,"Ann Arbor, MI Metro Area",26,161,"Washtenaw County, Michigan",26161
11500,"Anniston-Oxford, AL Metro Area",01,015,"Calhoun County, Alabama",01015
11540,"Appleton, WI Metro Area",55,015,"Calumet County, Wisconsin",55015
11540,"Appleton, WI Metro Area",55,087,"Outagamie County, Wisconsin",55087
11700,"Asheville, NC Metro Area",37,021,"Buncombe County, North Carolina",37021
11700,"Asheville, NC Metro Area",37,089,"Henderson County, North Carolina",37089
11700,"Asheville, NC Metro Area",37,115,"Madison County, North Carolina",37115
12020,"Athens-Clarke County, GA Metro Area",13,059,"Clarke County, Georgia",13059
12020,"Athens-Clarke County, GA Metro Area",13,195,"Madison County, Georgia",13195
12020,"Athens-Clarke County, GA Metro Area",13,219,"Oconee County, Georgia",13219
12020,"Athens-Clarke County, GA Metro Area",13,221,"Oglethorpe County, Georgia",13221
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,013,"Barrow County, Georgia",13013
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,015,"Bartow County, Georgia",13015
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,035,"Butts County, Georgia",13035
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,045,"Carroll County, Georgia",13045
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,057,"Cherokee County, Georgia",13057
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,063,"Clayton County, Georgia",13063
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,067,"Cobb County, Georgia",13067
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,077,"Coweta County, Georgia",13077
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,085,"Dawson County, Georgia",13085
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,089,"DeKalb County, Georgia",13089
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,097,"Douglas County, Georgia",13097
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,113,"Fayette County, Georgia",13113
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,117,"Forsyth County, Georgia",13117
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,121,"Fulton County, Georgia",13121
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,135,"Gwinnett County, Georgia",13135
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,143,"Haralson County, Georgia",13143
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,149,"Heard County, Georgia",13149
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,151,"Henry County, Georgia",13151
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,159,"Jasper County, Georgia",13159
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,187,"Lumpkin County, Georgia",13187
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,199,"Meriwether County, Georgia",13199
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,211,"Morgan County, Georgia",13211
