msa,name_msa,year,C23002B_001E,C23002B_002E,C23002B_003E,C23002B_004E,C23002B_005E,C23002B_006E,C23002B_007E,C23002B_008E,C23002B_009E,C23002B_010E,C23002B_011E,C23002B_012E,C23002B_013E,C23002B_014E,C23002B_015E,C23002B_016E,C23002B_017E,C23002B_018E,C23002B_019E,C23002B_020E,C23002B_021E,C23002B_022E,C23002B_023E,C23002B_024E,C23002B_025E,C23002B_026E,C23002B_027E,C23002I_001E,C23002I_002E,C23002I_003E,C23002I_004E,C23002I_005E,C23002I_006E,C23002I_007E,C23002I_008E,C23002I_009E,C23002I_010E,C23002I_011E,C23002I_012E,C23002I_013E,C23002I_014E,C23002I_015E,C23002I_016E,C23002I_017E,C23002I_018E,C23002I_019E,C23002I_020E,C23002I_021E,C23002I_022E,C23002I_023E,C23002I_024E,C23002I_025E,C23002I_026E,C23002I_027E,C23002H_001E,C23002H_002E,C23002H_003E,C23002H_004E,C23002H_005E,C23002H_006E,C23002H_007E,C23002H_008E,C23002H_009E,C23002H_010E,C23002H_011E,C23002H_012E,C23002H_013E,C23002H_014E,C23002H_015E,C23002H_016E,C23002H_017E,C23002H_018E,C23002H_019E,C23002H_020E,C23002H_021E,C23002H_022E,C23002H_023E,C23002H_024E,C23002H_025E,C23002H_026E,C23002H_027E,black_female_lfp,black_male_lfp,black_female_ur,black_male_ur,hisp_female_lfp,hisp_male_lfp,hisp_female_ur,hisp_male_ur,white_female_lfp,white_male_lfp,white_female_ur,white_male_ur,gap_mbw,gap_mhw,gap_fbw,gap_fhw,lfp_gap_mbw,lfp_gap_mhw,lfp_gap_fbw,lfp_gap_fhw
10180,"Abilene, TX Metro Area",2010,8939,5484,5170,2595,521,2074,1792,282,2575,314,102,102,0,212,3455,2989,2105,178,1927,1636,291,884,466,48,48,0,418,23172,12189,11503,7804,318,7486,6992,494,3699,686,125,109,16,561,10983,10044,6458,18,6440,5951,489,3586,939,157,96,61,782,92529,44850,36688,28732,2512,26220,25077,1143,7956,8162,1908,1887,21,6254,47679,36591,25625,294,25331,24193,1138,10966,11088,1685,1643,42,9403,70.424891268,50.193423598,15.101193565,13.596914176,64.297092792,67.843171347,7.5931677019,6.5989847716,70.030881911,78.314435238,4.4925190478,4.3592677346,9.237646441,2.239717037,10.608674517,3.1006486541,-28.12101164,-10.47126389,0.3940093571,-5.733789119
10180,"Abilene, TX Metro Area",2011,9705,6048,5699,2559,463,2096,1820,276,3140,349,65,65,0,284,3657,3105,2068,218,1850,1543,307,1037,552,67,67,0,485,23875,12582,11896,7951,276,7675,7305,370,3945,686,165,143,22,521,11293,10271,6593,46,6547,6187,360,3678,1022,190,141,49,832,92007,44445,36227,27642,2252,25390,24032,1358,8585,8218,1951,1919,32,6267,47562,36569,25327,322,25005,23956,1049,11242,10993,1605,1560,45,9388,66.602254428,44.902614494,16.594594595,13.167938931,64.1904391,66.837592468,5.4987016954,4.8208469055,69.258114797,76.302205537,4.1951609678,5.3485624262,7.8193765051,-0.527715521,12.399433627,1.3035407276,-31.39959104,-9.464613069,-2.655860368,-5.067675696
10180,"Abilene, TX Metro Area",2012,9833,6106,5747,2441,370,2071,1734,337,3306,359,71,71,0,288,3727,3236,2374,130,2244,1926,318,862,491,67,67,0,424,24546,12944,12141,7859,360,7499,7042,457,4282,803,135,114,21,668,11602,10489,6753,53,6700,6159,541,3736,1113,209,170,39,904,91994,44463,36126,27773,2278,25495,23955,1540,8353,8337,2039,2006,33,6298,47531,36392,25131,312,24819,23690,1129,11261,11139,1544,1493,51,9595,73.362175525,42.474334435,14.171122995,16.272332207,64.381733244,64.731076518,8.0746268657,6.0941458861,69.056386019,76.878148702,4.5489342842,6.0404000784,10.231932128,0.0537458077,9.6221887104,3.5256925815,-34.40381427,-12.14707218,4.3057895064,-4.674652775
10180,"Abilene, TX Metro Area",2013,9609,6032,5689,2500,459,2041,1708,333,3189,343,93,93,0,250,3577,3119,2208,59,2149,1911,238,911,458,75,75,0,383,24990,13404,12548,7923,406,7517,6998,519,4625,856,170,150,20,686,11586,10429,6832,55,6777,6120,657,3597,1157,204,170,34,953,92777,45084,36598,27619,1885,25734,24208,1526,8979,8486,2050,2011,39,6436,47693,36425,24957,273,24684,23363,1321,11468,11268,1391,1367,24,9877,70.791920487,43.94445421,11.074918567,16.315531602,65.50963659,63.1415365,9.6945551129,6.9043501397,68.516129032,75.465872452,5.3516447901,5.9298981892,10.385633413,0.9744519505,5.7232737766,4.3429103227,-31.52141824,-12.32433595,2.2757914551,-3.006492442
10180,"Abilene, TX Metro Area",2014,10192,6364,5992,2567,327,2240,1883,357,3425,372,136,136,0,236,3828,3348,2406,43,2363,2185,178,942,480,123,123,0,357,25619,13773,12843,8178,424,7754,7242,512,4665,930,197,178,19,733,11846,10583,7168,114,7054,6470,584,3415,1263,291,245,46,972,92205,44722,36058,27134,1734,25400,23934,1466,8924,8664,2079,2051,28,6585,47483,36160,24196,247,23949,22606,1343,11964,11323,1359,1334,25,9964,71.863799283,42.840453939,7.5327972916,15.9375,67.731267127,63.676711049,8.2789906436,6.6030435904,66.913716814,75.250984525,5.6077498017,5.7716535433,10.165846457,0.8313900471,1.9250474899,2.6712408419,-32.41053059,-11.57427348,4.950082469,0.8175503124
10180,"Abilene, TX Metro Area",2015,10486,6574,6184,2469,314,2155,1920,235,3715,390,88,88,0,302,3912,3411,2659,4,2655,2569,86,752,501,182,182,0,319,26171,13912,12896,8310,445,7865,7359,506,4586,1016,218,198,20,798,12259,10995,7594,67,7527,7001,526,3401,1264,271,271,0,993,91693,44413,35620,26749,1915,24834,23540,1294,8871,8793,2125,2087,38,6668,47280,35878,23691,191,23500,22249,1251,12187,11402,1451,1399,52,9951,77.953679273,39.925614489,3.2391713748,10.90487239,69.067758072,64.438585608,6.9881759001,6.4335664336,66.032108813,75.095451993,5.3234042553,5.2105983732,5.6942740166,1.2229680604,-2.084232881,1.6647716448,-35.1698375,-10.65686639,11.92157046,3.0356492587
10180,"Abilene, TX Metro Area",2016,10378,6508,6103,2612,436,2176,1952,224,3491,405,81,81,0,324,3870,3412,2564,8,2556,2462,94,848,458,138,138,0,320,27014,14412,13326,8561,544,8017,7506,511,4765,1086,202,177,25,884,12602,11292,7939,92,7847,7304,543,3353,1310,293,293,0,1017,91503,44326,35342,27122,1957,25165,24115,1050,8220,8984,2203,2147,56,6781,47177,35558,23462,220,23242,22110,1132,12096,11619,1542,1501,41,10077,75.146541618,42.798623628,3.6776212833,10.294117647,70.306411619,64.242833558,6.9198419778,6.3739553449,65.982338714,76.741553958,4.8704930729,4.1724617524,6.1216558946,2.2014935925,-1.19287179,2.0493489049,-33.94293033,-12.4987204,9.1642029036,4.3240729046
10180,"Abilene, TX Metro Area",2017,10580,6663,6249,2792,509,2283,2092,191,3457,414,95,95,0,319,3917,3445,2462,36,2426,2414,12,983,472,104,104,0,368,27284,14570,13440,8917,522,8395,7889,506,4523,1130,251,230,21,879,12714,11309,7907,91,7816,7511,305,3402,1405,278,278,0,1127,90796,43852,34849,26809,1994,24815,23784,1031,8040,9003,2240,2158,82,6763,46944,35324,23967,280,23687,22756,931,11357,11620,1639,1588,51,9981,71.465892598,44.679148664,0.494641385,8.3661848445,69.917764612,66.34672619,3.9022517912,6.0273972603,67.849054467,76.929036701,3.9304259721,4.1547451138,4.2114397307,1.8726521464,-3.435784587,-0.028174181,-32.24988804,-10.58231051,3.6168381308,2.068710145
10180,"Abilene, TX Metro Area",2018,10697,6794,6356,2793,394,2399,2182,217,3563,438,89,89,0,349,3903,3411,2421,66,2355,2300,55,990,492,164,164,0,328,27897,14717,13522,9194,507,8687,8166,521,4328,1195,253,243,10,942,13180,11701,8076,112,7964,7696,268,3625,1479,257,257,0,1222,90160,43509,34407,26481,2153,24328,23278,1050,7926,9102,2318,2243,75,6784,46651,34977,23840,353,23487,22631,856,11137,11674,1774,1720,54,9900,70.976253298,43.942731278,2.3354564756,9.0454355982,69.019741902,67.992900459,3.3651431441,5.9974674801,68.159075964,76.963989886,3.6445693362,4.3160144689,4.7294211292,1.6814530112,-1.309112861,-0.279426192,-33.02125861,-8.971089427,2.8171773339,0.8606659382
10180,"Abilene, TX Metro Area",2019,10870,6773,6320,3077,442,2635,2441,194,3243,453,79,79,0,374,4097,3576,2535,84,2451,2384,67,1041,521,125,125,0,396,28481,14965,13715,9470,462,9008,8594,414,4245,1250,260,252,8,990,13516,11959,8319,101,8218,7955,263,3640,1557,285,285,0,1272,89866,43389,34189,25939,2455,23484,22705,779,8250,9200,2409,2338,71,6791,46477,34698,23854,309,23545,22876,669,10844,11779,1845,1786,59,9934,70.889261745,48.686708861,2.7335781314,7.3624288425,69.562672464,69.048487058,3.2002920419,4.5959147425,68.747478241,75.869431689,2.841367594,3.3171521036,4.0452767389,1.2787626389,-0.107789463,0.3589244479,-27.18272283,-6.820944631,2.1417835041,0.8151942234
10180,"Abilene, TX Metro Area",2020,10710,6685,6204,3173,511,2662,2513,149,3031,481,64,64,0,417,4025,3493,2449,87,2362,2299,63,1044,532,105,105,0,427,29123,15239,13933,9592,728,8864,8473,391,4341,1306,364,360,4,942,13884,12267,8571,65,8506,8259,247,3696,1617,259,259,0,1358,89573,43079,33977,26370,2074,24296,23403,893,7607,9102,2497,2446,51,6605,46494,34570,23750,303,23447,22795,652,10820,11924,2147,2121,26,9777,70.111651875,51.144422953,2.66723116,5.5972952667,69.870383957,68.843752243,2.9038325888,4.411101083,68.701185999,77.611325308,2.7807395402,3.6755021403,1.9217931264,0.7355989428,-0.11350838,0.1230930485,-26.46690236,-8.767573065,1.4104658758,1.1691979575
