name_msa,CAGR,volatility,score,rank,msa,msa_rank_label
"Austin-Round Rock-San Marcos, TX Metro Area",0.0493253086,0.0235498573,2.0945056246,1,12420,"Rank 1 : Austin-Round Rock-San Marcos, TX Metro Area"
"St. George, UT Metro Area",0.0574058707,0.0349777389,1.6412115969,2,41100,"Rank 2 : St. George, UT Metro Area"
"Crestview-Fort Walton Beach-Destin, FL Metro Area",0.0465654529,0.0286654748,1.6244438028,3,18880,"Rank 3 : Crestview-Fort Walton Beach-Destin, FL Metro Area"
"Charleston-North Charleston, SC Metro Area",0.0424426749,0.0261830742,1.6209966246,4,16700,"Rank 4 : Charleston-North Charleston, SC Metro Area"
"Phoenix-Mesa-Chandler, AZ Metro Area",0.0357803976,0.0223385107,1.6017360386,5,38060,"Rank 5 : Phoenix-Mesa-Chandler, AZ Metro Area"
"Jacksonville, FL Metro Area",0.0356858817,0.0225520288,1.5823801028,6,27260,"Rank 6 : Jacksonville, FL Metro Area"
"Fort Collins-Loveland, CO Metro Area",0.0361159318,0.0228890799,1.5778673466,7,22660,"Rank 7 : Fort Collins-Loveland, CO Metro Area"
"Gainesville, GA Metro Area",0.0409731071,0.0264187989,1.5509072624,8,23580,"Rank 8 : Gainesville, GA Metro Area"
"Savannah, GA Metro Area",0.0388992925,0.0252897801,1.5381427726,9,42340,"Rank 9 : Savannah, GA Metro Area"
"Charlotte-Concord-Gastonia, NC-SC Metro Area",0.0291913049,0.0197183522,1.4804129941,10,16740,"Rank 10 : Charlotte-Concord-Gastonia, NC-SC Metro Area"
"Seattle-Tacoma-Bellevue, WA Metro Area",0.0340814339,0.0230960633,1.4756382275,11,42660,"Rank 11 : Seattle-Tacoma-Bellevue, WA Metro Area"
"Atlanta-Sandy Springs-Roswell, GA Metro Area",0.0292685846,0.0200757204,1.4579095589,12,12060,"Rank 12 : Atlanta-Sandy Springs-Roswell, GA Metro Area"
"Riverside-San Bernardino-Ontario, CA Metro Area",0.0271631084,0.0186741024,1.4545870956,13,40140,"Rank 13 : Riverside-San Bernardino-Ontario, CA Metro Area"
"Huntsville, AL Metro Area",0.0366715072,0.0257501849,1.4241259767,14,26620,"Rank 14 : Huntsville, AL Metro Area"
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.0260587323,0.0183256682,1.4219799236,15,38900,"Rank 15 : Portland-Vancouver-Hillsboro, OR-WA Metro Area"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.0362173426,0.0255082795,1.419826946,16,34980,"Rank 16 : Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
"Ogden, UT Metro Area",0.0366507833,0.0259298383,1.4134597706,17,36260,"Rank 17 : Ogden, UT Metro Area"
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.0388968504,0.0277807169,1.4001384698,18,41940,"Rank 18 : San Jose-Sunnyvale-Santa Clara, CA Metro Area"
"Lakeland-Winter Haven, FL Metro Area",0.0294132249,0.0215496584,1.3649044656,19,29460,"Rank 19 : Lakeland-Winter Haven, FL Metro Area"
"Indianapolis-Carmel-Greenwood, IN Metro Area",0.0311438254,0.0228696566,1.3617968109,20,26900,"Rank 20 : Indianapolis-Carmel-Greenwood, IN Metro Area"
"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",0.0352532955,0.0258890202,1.3617083681,21,25940,"Rank 21 : Hilton Head Island-Bluffton-Port Royal, SC Metro Area"
"Daphne-Fairhope-Foley, AL Metro Area",0.0337734876,0.0248526532,1.3589489754,22,19300,"Rank 22 : Daphne-Fairhope-Foley, AL Metro Area"
"Dallas-Fort Worth-Arlington, TX Metro Area",0.0354949889,0.026609778,1.3339077435,23,19100,"Rank 23 : Dallas-Fort Worth-Arlington, TX Metro Area"
"Pinehurst-Southern Pines, NC Metro Area",0.0340529412,0.0256120977,1.3295647061,24,38240,"Rank 24 : Pinehurst-Southern Pines, NC Metro Area"
"Pensacola-Ferry Pass-Brent, FL Metro Area",0.0281211457,0.0211579636,1.3291045515,25,37860,"Rank 25 : Pensacola-Ferry Pass-Brent, FL Metro Area"
"Ann Arbor, MI Metro Area",0.0243711382,0.0184444197,1.3213285426,26,11460,"Rank 26 : Ann Arbor, MI Metro Area"
"San Diego-Chula Vista-Carlsbad, CA Metro Area",0.0255047107,0.0194380464,1.3121025784,27,41740,"Rank 27 : San Diego-Chula Vista-Carlsbad, CA Metro Area"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",0.0383850232,0.0298725961,1.2849577277,28,19660,"Rank 28 : Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
"Wildwood-The Villages, FL Metro Area",0.0773332283,0.0603930503,1.2804987963,29,48680,"Rank 29 : Wildwood-The Villages, FL Metro Area"
"Orlando-Kissimmee-Sanford, FL Metro Area",0.0370975821,0.0290065431,1.278938409,30,36740,"Rank 30 : Orlando-Kissimmee-Sanford, FL Metro Area"
"Tampa-St. Petersburg-Clearwater, FL Metro Area",0.0309870502,0.0243319026,1.2735152974,31,45300,"Rank 31 : Tampa-St. Petersburg-Clearwater, FL Metro Area"
"Wilmington, NC Metro Area",0.0325116555,0.0259216996,1.254225455,32,48900,"Rank 32 : Wilmington, NC Metro Area"
"Boulder, CO Metro Area",0.0332025255,0.0269220174,1.2332851928,33,14500,"Rank 33 : Boulder, CO Metro Area"
"Columbus, OH Metro Area",0.0217264121,0.0177053324,1.2271112235,34,18140,"Rank 34 : Columbus, OH Metro Area"
"Punta Gorda, FL Metro Area",0.0319198249,0.0269134468,1.1860177262,35,39460,"Rank 35 : Punta Gorda, FL Metro Area"
"Houston-Pasadena-The Woodlands, TX Metro Area",0.0309620955,0.0265077616,1.1680388556,36,26420,"Rank 36 : Houston-Pasadena-The Woodlands, TX Metro Area"
"Kalamazoo-Portage, MI Metro Area",0.0247015878,0.0216497831,1.1409623671,37,28020,"Rank 37 : Kalamazoo-Portage, MI Metro Area"
"Boston-Cambridge-Newton, MA-NH Metro Area",0.0237169255,0.0211698332,1.120317071,38,14460,"Rank 38 : Boston-Cambridge-Newton, MA-NH Metro Area"
"San Francisco-Oakland-Fremont, CA Metro Area",0.0406763919,0.0365172758,1.113894478,39,41860,"Rank 39 : San Francisco-Oakland-Fremont, CA Metro Area"
"Sacramento-Roseville-Folsom, CA Metro Area",0.02524834,0.0227374258,1.1104308888,40,40900,"Rank 40 : Sacramento-Roseville-Folsom, CA Metro Area"
"Denver-Aurora-Centennial, CO Metro Area",0.0293173342,0.0272175041,1.0771499884,41,19740,"Rank 41 : Denver-Aurora-Centennial, CO Metro Area"
"Santa Maria-Santa Barbara, CA Metro Area",0.0219144024,0.0203572869,1.0764893421,42,42200,"Rank 42 : Santa Maria-Santa Barbara, CA Metro Area"
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.0326402359,0.030398974,1.0737282068,43,33100,"Rank 43 : Miami-Fort Lauderdale-West Palm Beach, FL Metro Area"
"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",0.0320777322,0.029938626,1.0714497134,44,34820,"Rank 44 : Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area"
"Louisville/Jefferson County, KY-IN Metro Area",0.0243477773,0.0228758843,1.0643425594,45,31140,"Rank 45 : Louisville/Jefferson County, KY-IN Metro Area"
"Cape Coral-Fort Myers, FL Metro Area",0.0343494347,0.0323531844,1.0617018168,46,15980,"Rank 46 : Cape Coral-Fort Myers, FL Metro Area"
"Dayton-Kettering-Beavercreek, OH Metro Area",0.0192586133,0.0181453921,1.0613500779,47,19430,"Rank 47 : Dayton-Kettering-Beavercreek, OH Metro Area"
"Kansas City, MO-KS Metro Area",0.0132179318,0.0124616268,1.0606907158,48,28140,"Rank 48 : Kansas City, MO-KS Metro Area"
"Naples-Marco Island, FL Metro Area",0.0381439662,0.0360449219,1.0582341216,49,34940,"Rank 49 : Naples-Marco Island, FL Metro Area"
"Janesville-Beloit, WI Metro Area",0.0224652988,0.0212806191,1.0556694154,50,27500,"Rank 50 : Janesville-Beloit, WI Metro Area"
"Eugene-Springfield, OR Metro Area",0.0214468625,0.020359964,1.0533841034,51,21660,"Rank 51 : Eugene-Springfield, OR Metro Area"
"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.0229863616,0.0218325373,1.052848841,52,31080,"Rank 52 : Los Angeles-Long Beach-Anaheim, CA Metro Area"
"Kenosha, WI Metro Area",0.0200184145,0.0191039344,1.0478686818,53,28450,"Rank 53 : Kenosha, WI Metro Area"
"Killeen-Temple, TX Metro Area",0.0169422986,0.0161831526,1.0469096512,54,28660,"Rank 54 : Killeen-Temple, TX Metro Area"
"San Luis Obispo-Paso Robles, CA Metro Area",0.0218010158,0.021226677,1.0270574032,55,42020,"Rank 55 : San Luis Obispo-Paso Robles, CA Metro Area"
"Spokane-Spokane Valley, WA Metro Area",0.0221400992,0.0216402023,1.0231003803,56,44060,"Rank 56 : Spokane-Spokane Valley, WA Metro Area"
"Boise City, ID Metro Area",0.0319848456,0.031370447,1.0195852657,57,14260,"Rank 57 : Boise City, ID Metro Area"
"Des Moines-West Des Moines, IA Metro Area",0.0257336603,0.0254021627,1.0130499754,58,19780,"Rank 58 : Des Moines-West Des Moines, IA Metro Area"
"North Port-Bradenton-Sarasota, FL Metro Area",0.0333014444,0.0329373844,1.0110530929,59,35840,"Rank 59 : North Port-Bradenton-Sarasota, FL Metro Area"
"Rapid City, SD Metro Area",0.0307687114,0.0306383076,1.0042562329,60,39660,"Rank 60 : Rapid City, SD Metro Area"
"San Antonio-New Braunfels, TX Metro Area",0.0549569818,0.0548385251,1.0021601001,61,41700,"Rank 61 : San Antonio-New Braunfels, TX Metro Area"
"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.0201984531,0.0201669387,1.001562676,62,33460,"Rank 62 : Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
